Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
AllPingPong Neighbor14,mesh,"(0, 0, 1)",6,"(0, 1, 1)",10,"(0, 1, 2)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",7,"(1, 1, 1)",11,"(1, 1, 2)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",8,"(0, 0, 2)",12,"(0, 0, 3)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",9,"(1, 0, 2)",13,"(1, 0, 3)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",10,"(0, 1, 2)",14,"(0, 1, 3)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",11,"(1, 1, 2)",15,"(1, 1, 3)",3
AllPingPong Neighbor15,mesh,"(0, 1, -1)",4,"(0, 0, 1)",2,"(0, 1, 0)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",5,"(1, 0, 1)",3,"(1, 1, 0)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",8,"(0, 0, 2)",6,"(0, 1, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",9,"(1, 0, 2)",7,"(1, 1, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",12,"(0, 0, 3)",10,"(0, 1, 2)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",13,"(1, 0, 3)",11,"(1, 1, 2)",4
AllPingPong Neighbor16,mesh,"(0, 1, 0)",0,"(0, 0, 0)",2,"(0, 1, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",1,"(1, 0, 0)",3,"(1, 1, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",4,"(0, 0, 1)",6,"(0, 1, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",5,"(1, 0, 1)",7,"(1, 1, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",8,"(0, 0, 2)",10,"(0, 1, 2)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",9,"(1, 0, 2)",11,"(1, 1, 2)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",12,"(0, 0, 3)",14,"(0, 1, 3)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",13,"(1, 0, 3)",15,"(1, 1, 3)",3
AllPingPong Neighbor17,mesh,"(0, 1, 1)",0,"(0, 0, 0)",6,"(0, 1, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",1,"(1, 0, 0)",7,"(1, 1, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",4,"(0, 0, 1)",10,"(0, 1, 2)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",5,"(1, 0, 1)",11,"(1, 1, 2)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",8,"(0, 0, 2)",14,"(0, 1, 3)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",9,"(1, 0, 2)",15,"(1, 1, 3)",4
AllPingPong Neighbor18,mesh,"(1, -1, -1)",6,"(0, 1, 1)",1,"(1, 0, 0)",5
AllPingPong Neighbor18,mesh,"(1, -1, -1)",10,"(0, 1, 2)",5,"(1, 0, 1)",5
AllPingPong Neighbor18,mesh,"(1, -1, -1)",14,"(0, 1, 3)",9,"(1, 0, 2)",5
AllPingPong Neighbor19,mesh,"(1, -1, 0)",2,"(0, 1, 0)",1,"(1, 0, 0)",4
AllPingPong Neighbor19,mesh,"(1, -1, 0)",6,"(0, 1, 1)",5,"(1, 0, 1)",4
